Id;IsDeleted;CreatedAt;CreatedBy;UpdatedAt;UpdatedBy;Titulo;Localizacao;Propriedade;IsDisponivel;LivroAutorId;LivroGeneroId
2164e01a-57c8-8530-5e13-a1751fb77de1;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;1;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
e5613543-4ad4-2997-62dd-bb862f611f4e;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;2;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
68de75f4-25f5-2bfe-24b5-574e86865cbe;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;3;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
5fa5dbab-838c-8c17-3b88-31d1f8300abf;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;4;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
a19de5e7-4fdd-7af4-04e2-edfaac1f7a14;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;5;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
a38620be-9233-4787-2bf0-5403d99585aa;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;6;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
d2281caf-0112-5c6d-69d4-19d2a38e939a;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;7;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
849c35a6-5ce1-197b-3f12-d0b857b488b5;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;8;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
24b8ab41-15e7-7bac-18c8-e8b6d9da994c;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;9;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
e9bad289-9e5e-6a23-6665-36d46df2186f;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;10;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
ab89e57b-29fb-4c06-1430-06df595a2127;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;11;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
c14eb99e-0eb8-33ab-29be-c2563b50a296;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;12;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
bb763559-865a-8af9-8b05-07bb22ac4385;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;13;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
88e90502-987f-879a-7174-00de1d4a4575;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;14;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
29dc074d-20f6-63ae-6319-fdc80a566ac2;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;15;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
6f2ac1a3-99e8-6476-211a-e115d4b20982;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;16;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
b525271e-225e-193d-4edf-438f10719140;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;17;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
bcc03e4b-7d4a-79f8-1430-41f079a72beb;false;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;2022-03-18 16:57:06.130697;31f86d3d-42d2-4a8c-ac15-ef3325eeac60;A CABANA;18;PRC;true;6c113929-ccd7-478c-974b-92d33e0bc526;ada5c489-af30-4a80-9bfd-d10003c78616
