Id;IsDeleted;CreatedAt;CreatedBy;UpdatedAt;UpdatedBy;Descricao;DataLiquidacao;ValorLiquido;PeriodoDataInicio;PeriodoDataFim;DataUltimoStatus;Observacao;Status;PeriodoReferencia;Tipo;ContaCorrenteId;ContabilEventoId
2d334a6e-571d-4556-a211-e0f18ed76c04;f;2022-02-22 13:28:22.080259;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-02-22 13:28:22.080262;8e445865-a24d-4543-a6c6-9443d048cdb9;PAGAMENTO ATLANTIS REF A JANEIRO 2022;2022-02-22 10:28:22.047408;825.00;1;30;2022-02-22 10:28:22.059281;"";2;0;1;18098475-9a12-53fb-0ceb-96330c06250b;811769ae-3fbf-45b4-9db3-63d4147b6de8
d0190875-8461-455e-9b8b-18105ca4aff3;f;2022-02-22 13:30:19.798263;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-02-22 13:30:19.798263;8e445865-a24d-4543-a6c6-9443d048cdb9;PAGAMENTO ATLANTIS REF A JANEIRO 2022;2022-02-22 10:30:19.796386;825.00;1;30;2022-02-22 10:30:19.797226;"";2;0;1;9d483306-0b3a-0d22-7e4a-e4102b79a274;811769ae-3fbf-45b4-9db3-63d4147b6de8
6ac88a32-d5e5-4cae-9a31-4b6f20d1ba9a;f;2022-02-22 13:32:11.477441;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-02-22 13:32:11.477443;8e445865-a24d-4543-a6c6-9443d048cdb9;PAGAMENTO DE COMPRA DO MERCADO ;2022-02-22 10:32:11.473038;186.30;0;0;2022-02-22 10:32:11.476275;"";2;0;2;ead43730-9679-50ae-173f-bd886b810f36;4c7a8421-ca89-4b81-8044-c0c6e56b5c08
d7776a7e-42e4-4c50-b373-811a1013c657;f;2022-02-23 13:01:44.609189;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-02-23 13:01:44.609223;8e445865-a24d-4543-a6c6-9443d048cdb9;ABERTO RETIRADA PESSOAL;2022-02-23 10:01:44.553799;666.60;0;0;2022-02-23 10:01:44.566548;"";2;0;2;9bcbd37b-0b6c-51a2-01f9-fd7b50e46a97;16e5049a-7375-4ff9-b713-f722f398b82f
b097af60-8502-4b80-bc24-efb6508359b7;f;2022-03-03 18:17:37.140259;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-03-03 18:17:37.140261;8e445865-a24d-4543-a6c6-9443d048cdb9;SAIDA TEMPORARIA ;2022-03-03 15:17:37.104264;1150.00;0;0;2022-03-03 15:17:37.119048;"";2;0;2;d3998055-4833-0529-8599-c51bd9fb7106;853d9f7b-1bc6-4697-ad70-d40fa2fbdc50
096024b8-bd08-47a7-b56e-b901f4b4abe0;f;2022-03-03 18:19:19.384803;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-03-03 18:19:19.384804;8e445865-a24d-4543-a6c6-9443d048cdb9;SAIDA TEMPORARIA ;2022-03-03 15:19:19.380156;500.00;0;0;2022-03-03 15:19:19.383828;"";2;0;2;362395bc-bee1-4fb1-868a-2dfba77ca92d;853d9f7b-1bc6-4697-ad70-d40fa2fbdc50
042cffc0-2777-42c1-b2a0-c35538ad50b2;f;2022-03-03 18:20:07.04818;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-03-03 18:20:07.048182;8e445865-a24d-4543-a6c6-9443d048cdb9;SAIDA TEMPORARIA ;2022-03-03 15:20:07.044575;500.00;0;0;2022-03-03 15:20:07.047486;"";2;0;2;67f36ea6-55ec-483b-b1ea-84dfdb564b03;853d9f7b-1bc6-4697-ad70-d40fa2fbdc50
dd27fd10-4d15-4e40-b29d-4152e74f7c58;f;2022-03-03 18:20:50.96367;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-03-03 18:20:50.96367;8e445865-a24d-4543-a6c6-9443d048cdb9;SAIDA TEMPORARIA ;2022-03-03 15:20:50.960161;300.00;0;0;2022-03-03 15:20:50.963093;"";2;0;2;ad3d9c53-a3ab-617f-897e-c87a92512393;853d9f7b-1bc6-4697-ad70-d40fa2fbdc50
1189825f-c279-4a8d-a834-e46b2e1413f7;f;2022-02-22 13:35:03.695367;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-02-22 13:35:03.69537;8e445865-a24d-4543-a6c6-9443d048cdb9;PAGAMENTO DE COMPRA DO MERCADO ;2022-02-22 10:35:03.690046;108.90;0;0;2022-02-22 10:35:03.694321;"";2;0;2;6fcc7007-574a-4566-6aa7-9a0b951b5e4d;4c7a8421-ca89-4b81-8044-c0c6e56b5c08
67fe2e23-4481-4ffd-a5cd-238f897d1cde;f;2022-02-23 13:31:01.090129;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-02-23 13:31:01.09013;8e445865-a24d-4543-a6c6-9443d048cdb9;ABERTO RETIRADA PESSOAL;2022-02-23 10:31:01.084745;484.80;0;0;2022-02-23 10:31:01.088821;"";2;0;2;6166dca1-6a51-6322-069c-7d42214139d5;16e5049a-7375-4ff9-b713-f722f398b82f
c336a2b1-a47f-4d97-913a-792a46fba63a;f;2022-03-03 18:21:53.767578;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-03-03 18:21:53.767579;8e445865-a24d-4543-a6c6-9443d048cdb9;SAIDA TEMPORARIA ;2022-03-03 15:21:53.76281;550.00;0;0;2022-03-03 15:21:53.766893;"";2;0;2;cda06319-5908-4cc8-a7d8-9a83cad6e31a;853d9f7b-1bc6-4697-ad70-d40fa2fbdc50
49a2c840-c0be-42c7-9e98-a519db71b69e;f;2022-03-03 18:22:46.425789;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-03-03 18:22:46.425789;8e445865-a24d-4543-a6c6-9443d048cdb9;SAIDA TEMPORARIA ;2022-03-03 15:22:46.421547;350.00;0;0;2022-03-03 15:22:46.425172;"";2;0;2;6fee45b9-2489-2ba1-1e50-87e6a3c40d1e;853d9f7b-1bc6-4697-ad70-d40fa2fbdc50
