Id;IsDeleted;CreatedAt;CreatedBy;UpdatedAt;UpdatedBy;DataIngresso;OcorrenciaDesistencia;DataOcorrenciaDesistencia;AlunoId;ProfessorId;LivroGeneroId
16fa0def-2d57-29a7-581f-4314af427684;f;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-01-01 08:00:21.359743;0;0001-01-01 00:00:00.000000;977a1f55-5b93-5239-a6e4-be67b32a37b8;604a388d-9aad-4c0d-9d1d-4d05bed5748f;79db3772-6538-8f98-038a-513050747f33
fb2abe13-9283-7db2-209a-56b279109a0d;f;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-01-01 08:00:21.359743;0;0001-01-01 00:00:00.000001;f741068a-8cdc-16a3-9b25-fea191d8599f;604a388d-9aad-4c0d-9d1d-4d05bed5748f;c68ca414-566e-8a6c-54cf-10dc568d4a6f
2f5de563-8fdc-8fd8-6c69-e8b2a7198358;f;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-01-01 08:00:21.359743;0;0001-01-01 00:00:00.000002;63f581da-7d24-5a09-2fc7-fc741f4e0495;604a388d-9aad-4c0d-9d1d-4d05bed5748f;c68ca414-566e-8a6c-54cf-10dc568d4a6f
174a9a0c-8291-11cd-9250-1c5c1b1685a3;f;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-01-01 08:00:21.359743;0;0001-01-01 00:00:00.000003;d074fafc-1cd5-83d6-1fa9-70a233be5b5a;604a388d-9aad-4c0d-9d1d-4d05bed5748f;96abf6cd-3a48-0b84-345c-611565e710e8
129f834a-9ff1-9212-1b67-5590a9998ea6;f;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-01-01 08:00:21.359743;0;0001-01-01 00:00:00.000004;a06ef6a0-10e7-841c-1612-8b87afc01820;604a388d-9aad-4c0d-9d1d-4d05bed5748f;1a33914e-16a9-23cb-20b7-e9b7939e1e58
eca5ad3b-872c-497b-612d-5a420370751d;f;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-01-01 08:00:21.359743;0;0001-01-01 00:00:00.000005;584c425d-9e48-a511-8580-260de2426c55;604a388d-9aad-4c0d-9d1d-4d05bed5748f;79db3772-6538-8f98-038a-513050747f33
df3cf91b-7a03-35b1-368f-e0e7b74917b4;f;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-01-01 08:00:21.359743;0;0001-01-01 00:00:00.000006;640661fb-938a-4bcc-90a8-a717cb9697de;604a388d-9aad-4c0d-9d1d-4d05bed5748f;79db3772-6538-8f98-038a-513050747f33
40a7ae3d-3376-6b71-9be4-e002a27a6248;f;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-01-01 08:00:21.359743;0;0001-01-01 00:00:00.000007;fb28ae9d-8f12-985a-129a-cd092f26174e;604a388d-9aad-4c0d-9d1d-4d05bed5748f;68674d63-2e40-a644-07c9-e72d8e200c9e
b49e7365-3b7f-305a-2417-1462ac9103c7;f;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-01-01 08:00:21.359743;0;0001-01-01 00:00:00.000008;ba93bd16-40ff-0ddd-501c-19de30212cf9;604a388d-9aad-4c0d-9d1d-4d05bed5748f;c68ca414-566e-8a6c-54cf-10dc568d4a6f
0c3f262e-5756-6977-820f-8a9b5d9d77e7;f;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-05-17 19:21:21.359743;1e526008-75f7-4a01-9942-d178f2b38888;2022-01-01 08:00:21.359743;0;0001-01-01 00:00:00.000009;18eed42a-4acd-a7b2-a24e-ccd8c53006d2;604a388d-9aad-4c0d-9d1d-4d05bed5748f;c68ca414-566e-8a6c-54cf-10dc568d4a6f
